"","Country","Happiness.Rank","Happiness.Score","Whisker.high","Whisker.low","Economy..GDP.per.Capita.","Family","Health..Life.Expectancy.","Freedom","Generosity","Trust..Government.Corruption.","Dystopia.Residual","Region","Surface.area..km2.","Population.in.thousands..2017.","Population.density..per.km2..2017.","Sex.ratio..m.per.100.f..2017.","GDP..Gross.domestic.product..million.current.US..","GDP.growth.rate..annual....const..2005.prices.","GDP.per.capita..current.US..","Economy..Agriculture....of.GVA.","Economy..Industry....of.GVA.","Economy..Services.and.other.activity....of.GVA.","Employment..Agriculture....of.employed.","Employment..Industry....of.employed.","Employment..Services....of.employed.","Unemployment....of.labour.force.","Labour.force.participation..female.male.pop....","Agricultural.production.index..2004.2006.100.","Food.production.index..2004.2006.100.","International.trade..Exports..million.US..","International.trade..Imports..million.US..","International.trade..Balance..million.US..","Balance.of.payments..current.account..million.US..","Population.growth.rate..average.annual...","Urban.population....of.total.population.","Urban.population.growth.rate..average.annual...","Fertility.rate..total..live.births.per.woman.","Life.expectancy.at.birth..females.males..years.","Population.age.distribution..0.14...60..years....","International.migrant.stock..000...of.total.pop..","Refugees.and.others.of.concern.to.UNHCR..in.thousands.","Infant.mortality.rate..per.1000.live.births","Health..Total.expenditure....of.GDP.","Health..Physicians..per.1000.pop..","Education..Government.expenditure....of.GDP.","Education..Primary.gross.enrol..ratio..f.m.per.100.pop..","Education..Secondary.gross.enrol..ratio..f.m.per.100.pop..","Education..Tertiary.gross.enrol..ratio..f.m.per.100.pop..","Seats.held.by.women.in.national.parliaments..","Mobile.cellular.subscriptions..per.100.inhabitants.","Mobile.cellular.subscriptions..per.100.inhabitants..1","Individuals.using.the.Internet..per.100.inhabitants.","Threatened.species..number.","Forested.area....of.land.area.","CO2.emission.estimates..million.tons.tons.per.capita.","Energy.production..primary..Petajoules.","Energy.supply.per.capita..Gigajoules.","Pop..using.improved.drinking.water..urban.rural....","Pop..using.improved.sanitation.facilities..urban.rural....","Net.Official.Development.Assist..received....of.GNI."
"42","Malaysia",42,6.08400011062622,6.17997963652015,5.98802058473229,1.29121541976929,1.28464603424072,0.618784427642822,0.402264982461929,0.416608929634094,0.0656007081270218,2.00444889068604,"South-easternAsia","330323",31624,96.3,106.7,296284,"5.0",9768.4,"8.6",39.6,51.8,"11.8","27.3","60.9","3.3","49.3/77.8",122,130,"189414","168375","21039","8960","1.8",74.7,"2.7","2.1","77.1/72.6","24.3/9.7","2514.2/8.3","238.6","6.5",4.2,"1.3","5.0","101.9/101.7","80.7/74.6","31.8/20.8",10.4,"143.9","71.1",1272,"67.5","242.8/8.1",3738,118,"100.0/93.0","96.1/95.9","0.00",-99
"43","Nicaragua",43,6.07100009918213,6.18658360034227,5.95541659802198,0.737299203872681,1.28721570968628,0.653095960617065,0.447551846504211,0.301674216985703,0.130687981843948,2.51393055915833,"CentralAmerica","130373",6218,51.7,97.2,12693,"4.9",2086.9,"18.8",26.8,54.4,"24.1","14.5","61.4","6.1","49.6/80.6",130,130,"2225","5927","-3701","-1045","1.2",58.8,"2.0","2.3","77.5/71.4","29.0/8.4","40.3/0.7","0.6","20.0",9,"0.9","...",".../...",".../...",".../...",45.7,"116.1","19.7",144,"25.9","4.9/0.8",91,26,"99.3/69.4","76.5/55.7","3.68",-99
"44","Ecuador",44,6.00799989700317,6.10584767535329,5.91015211865306,1.00082039833069,1.28616881370544,0.685636222362518,0.4551981985569,0.150112465023994,0.140134647488594,2.29035258293152,"SouthAmerica","257217",16625,66.9,99.9,100177,"0.2",6205.1,"10.1",34.1,55.8,"25.7","19.2","55.1","5.8","49.1/79.9",118,119,"16798","16189","609","-2201","1.6",63.7,"1.9","2.6","78.4/72.8","28.4/10.5","387.5/2.4","133.1","21.1",9.2,"1.7","5.0","107.9/107.4","109.2/105.3","45.3/34.6",41.6,"79.4","48.9",2358,"50.8","43.9/2.8",1247,42,"93.4/75.5","87.0/80.7","0.31",-99
"45","El Salvador",45,6.00299978256226,6.108635122329,5.89736444279552,0.909784495830536,1.18212509155273,0.596018552780151,0.432452529668808,0.0782579854130745,0.0899809598922729,2.7145938873291,"CentralAmerica","21041",6378,307.8,88.5,25850,"2.5",4219.4,"10.8",25.8,63.3,"18.6","20.2","61.2","6.4","49.5/79.5",111,117,"5335","9855","-4519","-920","0.5",66.7,"1.4","2.2","77.1/67.9","27.4/11.6","42.0/0.7","4.7","17.0",6.8,"...","3.5","106.8/111.4","79.7/79.2","30.5/27.7",32.1,"145.3","26.9",86,"13.0","6.3/1.0",86,28,"97.5/86.5","82.4/60.0","0.36",-99
"46","Poland",46,5.97300004959106,6.05390834122896,5.89209175795317,1.29178786277771,1.44571197032928,0.699475347995758,0.520342111587524,0.158465966582298,0.0593078061938286,1.79772281646729,"EasternEurope","312679",38171,124.6,93.4,477066,"3.9",12355.5,"2.6",34.1,63.3,"10.9","29.6","59.5","5.3","49.1/64.9",113,113,"196455","188518","7937","-2932","-~0.0",60.5,"-0.1","1.3","81.0/72.9","14.8/24.0","619.4/1.6","23.7","4.5",6.4,"2.3","4.9","100.7/100.5","106.1/110.0","82.6/54.2",28,"148.7","68.0",58,"30.7","285.7/7.4",2819,102,"99.3/96.9","97.5/96.7","-99",-99
"47","Uzbekistan",47,5.97100019454956,6.06553757295012,5.876462816149,0.786441087722778,1.54896914958954,0.498272627592087,0.658248662948608,0.415983647108078,0.246528223156929,1.81691360473633,"CentralAsia","448969",31911,75,99.4,69004,"6.8",2308.3,"19.2",32.9,47.9,"29.0","23.9","47.1","8.9","48.5/76.6",158,174,"27947","25652","2295","-99","1.6",36.4,"1.4","2.4","73.5/68.1","28.0/7.6","1170.9/3.9","86.7","31.3",5.8,"2.5","-99","103.2/105.6","95.1/96.8","7.1/11.0",16,"73.3","42.8",59,"7.6","105.2/3.6",2339,62,"98.5/80.9","100.0/100.0","0.66",-99
"48","Italy",48,5.96400022506714,6.04273690596223,5.88526354417205,1.39506661891937,1.44492328166962,0.853144347667694,0.256450712680817,0.17278964817524,0.0280280914157629,1.81331205368042,"SouthernEurope","302073",59360,201.8,95.1,1821580,"0.7",30462.4,"2.2",23.5,74.2,"3.5","27.1","69.4","11.4","39.2/57.8",89,89,"461529","404578","56951","29348","-0.1",69,"0.4","1.4","84.7/79.9","13.5/29.4","5788.9/9.7","216.7","3.0",9.2,"3.9","4.1","100.6/101.4","101.7/104.1","72.2/53.2",31,"151.3","65.6",359,"31.4","320.4/5.4",1539,103,"100.0/100.0","99.5/99.6","-99",-99
"49","Russia",49,5.96299982070923,6.03027490749955,5.89572473391891,1.28177809715271,1.46928238868713,0.547349333763123,0.373783111572266,0.0522638224065304,0.0329628810286522,2.20560741424561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Belize",50,5.95599985122681,6.19724231779575,5.71475738465786,0.907975316047668,1.08141779899597,0.450191766023636,0.547509372234344,0.240015640854836,0.0965810716152191,2.63195562362671,"CentralAmerica","22966",375,16.4,99.2,1721,"1.2",4789.4,"14.6",18.5,66.9,"16.1","15.9","67.9","11.5","56.7/83.8",97,97,"246","952","-706","-175","2.2",44,"1.9","2.6","72.7/67.2","31.4/6.2","53.9/15.0","3.1","14.3",5.8,"...","6.4","110.4/115.8","81.8/79.8","28.7/17.9",9.4,"48.9","41.6",117,"60.1","0.5/1.4",9,36,"98.9/100.0","93.5/88.2","1.68",-99
"51","Japan",51,5.92000007629395,5.99071944460273,5.84928070798516,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.12057276815176,0.163760736584663,1.36322355270386,"EasternAsia","377930",127484,349.7,95.4,4383076,"1.2",34628.7,"1.2",26.4,72.4,"3.7","26.5","69.8","3.0","48.9/69.7",96,97,"644932","606924","38008","135608","-0.1",93.5,"0.6","1.4","86.4/80.0","12.9/33.4","2043.9/1.6","19.4","2.2",10.2,"2.3","3.6","101.2/101.3","101.9/101.6","60.9/65.7",9.3,"125.0","93.3",404,"68.5","1214.0/9.6",1114,146,"100.0/100.0","100.0/100.0","-99",-99
"52","Lithuania",52,5.90199995040894,5.98266964137554,5.82133025944233,1.31458234786987,1.47351610660553,0.62894994020462,0.234231784939766,0.010164656676352,0.0118656428530812,2.22844052314758,"NorthernEurope","65286",2890,46.1,85.4,41402,"1.8",14383.7,"3.6",29.8,66.5,"8.7","24.5","66.8","9.2","54.1/66.1",125,125,"25025","27501","-2476","-977","-1.3",66.5,"-0.5","1.6","79.3/68.5","14.8/25.3","136.0/4.7","4.7","4.4",6.6,"4.3","4.6","103.7/103.2","106.1/110.3","82.0/55.8",21.3,"139.5","71.4",26,"34.8","12.8/4.4",74,98,"99.7/90.4","97.2/82.8","-99",-99
"53","Algeria",53,5.87200021743774,5.97828643366694,5.76571400120854,1.09186446666718,1.1462174654007,0.617584645748138,0.233335807919502,0.0694366469979286,0.146096110343933,2.56760382652283,"NorthernAfrica","2381741",41318,17.3,102,164779,"3.8",4154.1,"12.2",37.3,50.5,"10.8","34.5","54.7","11.4","17.0/70.7",160,161,"29992","47091","-17099","-27229","2.0",70.7,"2.8","3.0","76.5/74.1","29.3/9.4","242.4/0.6","99.8","27.7",7.2,"...","...","112.7/119.5","101.7/98.1","45.1/28.9",31.6,"113.0","38.2",135,"0.8","145.4/3.7",5900,55,"84.3/81.8","89.8/82.2","0.05",-99
"54","Latvia",54,5.84999990463257,5.92026353821158,5.77973627105355,1.26074862480164,1.40471494197845,0.638566970825195,0.325707912445068,0.153074786067009,0.0738427266478539,1.99365520477295,"NorthernEurope","64573",1950,31.3,84.9,27004,"2.7",13704.1,"3.2",23.3,73.5,"7.3","23.0","69.7","9.6","54.5/67.7",130,130,"11433","13596","-2163","-210","-1.2",67.4,"-0.7","1.5","78.7/68.8","15.4/26.2","263.1/13.4","252.6","6.5",5.9,"3.2","5.3","99.2/100.1","119.1/119.9","79.2/55.5",16,"127.0","79.2",30,"54.0","7.0/3.5",108,99,"99.8/98.3","90.8/81.5","-99",-99
"55","South Korea",55,5.83799982070923,5.92255902826786,5.7534406131506,1.40167844295502,1.12827444076538,0.900214076042175,0.257921665906906,0.206674367189407,0.0632826685905457,1.88037800788879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Moldova",56,5.83799982070923,5.90837083846331,5.76762880295515,0.728870630264282,1.25182557106018,0.589465200901031,0.240729048848152,0.208779126405716,0.0100912861526012,2.80780839920044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Romania",57,5.82499980926514,5.91969415679574,5.73030546173453,1.21768391132355,1.15009129047394,0.685158312320709,0.457003742456436,0.133519917726517,0.00438790069893003,2.17683148384094,"EasternEurope","238391",19679,85.5,94,177956,"3.7",9120.7,"4.8",34.9,60.3,"25.5","27.7","46.8","7.1","47.3/64.5",100,100,"63581","74605","-11024","-2096","-0.6",54.6,"~0.0","1.5","78.4/71.4","15.3/24.9","226.9/1.2","3.2","8.7",5.6,"2.7","3.1","89.0/90.5","92.0/92.5","59.0/47.8",20.7,"107.1","55.8",104,"29.5","70.0/3.6",1109,68,"100.0/100.0","92.2/63.3","-99",-99
"58","Bolivia",58,5.82299995422363,5.9039769025147,5.74202300593257,0.833756566047668,1.22761905193329,0.473630249500275,0.558732926845551,0.22556072473526,0.0604777261614799,2.44327902793884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Turkmenistan",59,5.82200002670288,5.88518087550998,5.75881917789578,1.13077676296234,1.49314916133881,0.437726080417633,0.41827192902565,0.24992498755455,0.259270340204239,1.83290982246399,"CentralAsia","488100",5758,12.3,97,37597,"6.5",6996.7,"13.4",51,35.6,"17.9","37.4","44.7","8.6","47.3/77.7",103,109,"3741","2616","1125","-99","1.8",50,"1.9","3.0","70.8/63.9","30.9/7.3","196.4/3.7","7.2","46.9",2.1,"2.3","3.1","88.6/90.1","83.7/86.9","6.2/9.7",25.8,"145.9","15.0",54,"8.8","68.4/12.9",3270,212,".../...",".../...","0.07",-99
"60","Kazakhstan",60,5.81899976730347,5.90364177465439,5.73435775995255,1.28455626964569,1.38436901569366,0.606041550636292,0.437454283237457,0.201964423060417,0.119282886385918,1.78489255905151,"CentralAsia","2724902",18204,6.7,93.9,181754,"1.2",10312.1,"5.0",32.5,62.5,"18.1","20.4","61.6","5.6","66.3/77.5",126,127,"36775","25175","11601","-5464","1.6",53.2,"0.9","2.7","73.9/64.3","27.9/11.1","3546.8/20.1","9.2","14.1",4.4,"3.3","2.8","109.1/108.8","113.5/110.6","51.3/41.4",27.1,"187.2","72.9",82,"1.2","248.3/14.3",7091,193,"99.4/85.6","97.0/98.1","0.05",-99
"61","North Cyprus",61,5.80999994277954,5.89736646488309,5.72263342067599,1.3469113111496,1.18630337715149,0.834647238254547,0.471203625202179,0.266845703125,0.155353352427483,1.54915761947632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Slovenia",62,5.75799989700317,5.84222516000271,5.67377463400364,1.3412059545517,1.45251882076263,0.790828227996826,0.572575807571411,0.242649093270302,0.0451289787888527,1.31331729888916,"SouthernEurope","20273",2080,103.3,98.6,42777,"2.3",20689.8,"2.4",32.7,64.9,"8.9","29.6","61.5","8.1","51.8/62.2",89,89,"27585","26646","939","2216","0.3",49.7,"0.1","1.6","83.2/77.2","15.0/26.3","236.0/11.4","0.6","2.5",9.2,"2.8","5.5","99.4/99.2","110.5/110.8","98.5/68.2",36.7,"113.2","73.1",143,"62.0","12.8/6.2",154,135,"99.7/99.4","99.1/99.1","-99",-99
"63","Peru",63,5.71500015258789,5.81194677859545,5.61805352658033,1.03522527217865,1.21877038478851,0.630166113376617,0.450002878904343,0.126819714903831,0.0470490865409374,2.20726943016052,"SouthAmerica","1285216",32166,25.1,99.8,190428,"3.3",6069.1,"7.6",33.3,59.2,"24.4","17.3","58.3","5.3","66.1/82.8",145,148,"36040","36185","-145","-9210","1.3",78.6,"1.7","2.5","76.8/71.5","27.4/10.4","90.9/0.3","2.5","18.6",5.5,"1.1","4.0","101.7/101.7","95.8/95.7",".../...",27.7,"109.9","40.9",685,"57.9","61.7/2.0",1020,30,"91.4/69.2","82.5/53.2","0.18",-99
"64","Mauritius",64,5.62900018692017,5.72986219167709,5.52813818216324,1.18939554691315,1.20956099033356,0.638007462024689,0.491247326135635,0.360933750867844,0.0421815551817417,1.6975839138031,"EasternAfrica","1969",1265,623.2,97.9,11511,"3.5",9040.9,"2.9",22.7,74.4,"7.3","25.2","67.5","7.6","46.9/74.3",96,96,"2194","4655","-2461","-566","0.2",39.7,"-0.1","1.5","77.7/70.7","18.4/16.6","28.6/2.2","-99","12.0",4.8,"...","4.9","103.9/102.2","97.9/93.6","41.7/31.7",11.6,"140.6","50.1",257,"19.0","4.2/3.3",10,51,"99.9/99.8","93.9/92.6","0.67",-99
"65","Cyprus",65,5.62099981307983,5.71469269931316,5.5273069268465,1.35593807697296,1.13136327266693,0.84471470117569,0.355111539363861,0.271254301071167,0.0412379764020443,1.62124919891357,"WesternAsia","9251",1180,127.7,100.2,19561,"1.7",21941.9,"2.3",10.6,87.2,"4.1","16.7","79.2","10.3","57.8/70.4",80,80,"1920","6604","-4684","-576","0.9",66.9,"0.9","1.4","82.2/77.7","16.8/18.5","196.2/16.8","16.2","4.2",7.4,"2.5","6.1","99.3/99.3","99.4/100.1","69.4/51.1",17.9,"95.4","71.7",72,"18.7","6.1/5.2",5,72,"100.0/100.0","100.0/100.0","-99",-99
"66","Estonia",66,5.61100006103516,5.68813987419009,5.53386024788022,1.32087934017181,1.47667109966278,0.695168316364288,0.479131430387497,0.0988908112049103,0.183248922228813,1.35750865936279,"NorthernEurope","45227",1310,30.9,88.2,22460,"1.4",17112,"3.4",27.4,69.2,"3.8","29.0","67.3","7.2","55.4/69.4",136,136,"13952","15759","-1807","493","-0.3",67.5,"-0.4","1.6","81.2/71.8","16.4/25.9","202.3/15.4","84.2","3.2",6.4,"3.3","5.5","98.5/98.3","114.7/115.6","84.8/55.4",26.7,"148.7","88.4",23,"52.7","19.5/14.8",242,193,"100.0/99.0","97.5/96.6","-99",-99
"67","Belarus",67,5.56899976730347,5.64611424401402,5.49188529059291,1.15655755996704,1.44494521617889,0.637714266777039,0.295400261878967,0.15513750910759,0.156313821673393,1.72323298454285,"EasternEurope","207600",9468,46.7,87,54609,"-3.9",5750.8,"7.5",38.9,53.6,"9.6","32.0","58.4","0.5","54.0/67.8",122,122,"23414","27464","-4050","-2037","~0.0",76.7,"~0.0","1.6","77.7/66.5","16.7/21.3","1082.9/11.4","7.9","3.6",5.7,"4.1","4.9","101.3/101.4","106.4/107.8","100.7/75.9",34.5,"123.6","62.2",25,"42.5","63.5/6.7",155,122,"99.9/99.1","94.1/95.2","0.20",-99
"68","Libya",68,5.52500009536743,5.67695380687714,5.37304638385773,1.10180306434631,1.35756433010101,0.520169019699097,0.465733230113983,0.152073666453362,0.0926102101802826,1.83501124382019,"NorthernAfrica","1676198",6375,3.6,101.7,34457,"-10.2",5488.2,"0.9",67.1,32,"19.1","25.1","55.8","19.2","27.8/78.4",113,114,"4615","8876","-4261","-108","0.2",78.6,"1.1","2.4","74.4/68.8","28.2/6.6","771.1/12.3","472.5","24.3",5,"2.1","-99",".../...",".../...",".../...",16,"157.0","19.0",63,"0.1","57.0/9.1",1505,119,".../...","96.8/95.7","0.51",-99
